# PID  Density  Dens_err  Energy  En_err  Pressure  Pr_err
0.000395  0.00050080  0.00049866  -0.10743181  0.10605317  0.00039049  0.00038732
0.001184  0.00151060  0.00087681  -0.29639236  0.16653429  0.00117730  0.00070678
0.001973  0.00260840  0.00116491  -0.46578205  0.19696124  0.00200136  0.00092900
0.002762  0.00368100  0.00139786  -0.60350806  0.21243250  0.00280991  0.00116050
0.003354  0.00453780  0.00156042  -0.69692790  0.21898330  0.00344566  0.00132664
0.003946  0.00534380  0.00170073  -0.77528580  0.22239881  0.00400353  0.00138650
0.004538  0.00620160  0.00184207  -0.84785380  0.22368276  0.00463224  0.00155571
0.005130  0.71648860  0.01403922  -4.73189628  0.06340278  -0.15601018  0.09668096
0.005919  0.75503780  0.00973255  -4.88878703  0.04653355  -0.08917501  0.09988178
0.007892  0.80869720  0.00827978  -5.11017352  0.03994241  0.10885763  0.11029181
0.011839  0.85658300  0.00826644  -5.30081299  0.04204610  0.36572062  0.12385517
0.019731  0.90414260  0.00597470  -5.49898816  0.03491268  0.70322162  0.13159698
0.039462  0.94819500  0.00492270  -5.67377201  0.02950884  1.18209718  0.13788976
0.197311  1.03698837  0.00654627  -6.12348770  0.04385294  2.32650842  0.14719414
